"activityType" "subject" "averageOfVariable" "variableName"
"LAYING" "1" NA "tBodyAcc-mean()-X"
"SITTING" "1" NA "tBodyAcc-mean()-X"
"STANDING" "1" NA "tBodyAcc-mean()-X"
"WALKING" "1" 0.265696920582133 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "1" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "1" NA "tBodyAcc-mean()-X"
"LAYING" "2" NA "tBodyAcc-mean()-X"
"SITTING" "2" NA "tBodyAcc-mean()-X"
"STANDING" "2" NA "tBodyAcc-mean()-X"
"WALKING" "2" 0.273113115788079 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "2" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "2" NA "tBodyAcc-mean()-X"
"LAYING" "3" NA "tBodyAcc-mean()-X"
"SITTING" "3" NA "tBodyAcc-mean()-X"
"STANDING" "3" NA "tBodyAcc-mean()-X"
"WALKING" "3" 0.273428719636364 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "3" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "3" NA "tBodyAcc-mean()-X"
"LAYING" "4" NA "tBodyAcc-mean()-X"
"SITTING" "4" NA "tBodyAcc-mean()-X"
"STANDING" "4" NA "tBodyAcc-mean()-X"
"WALKING" "4" 0.277034464752577 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "4" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "4" 0.269685855146341 "tBodyAcc-mean()-X"
"LAYING" "5" NA "tBodyAcc-mean()-X"
"SITTING" "5" NA "tBodyAcc-mean()-X"
"STANDING" "5" NA "tBodyAcc-mean()-X"
"WALKING" "5" 0.279177960301325 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "5" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "5" NA "tBodyAcc-mean()-X"
"LAYING" "6" NA "tBodyAcc-mean()-X"
"SITTING" "6" NA "tBodyAcc-mean()-X"
"STANDING" "6" NA "tBodyAcc-mean()-X"
"WALKING" "6" 0.269434151902542 "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "6" NA "tBodyAcc-mean()-X"
"WALKING_UPSTAIRS" "6" 0.280179098426966 "tBodyAcc-mean()-X"
"LAYING" "7" NA "tBodyAcc-mean()-X"
"SITTING" "7" NA "tBodyAcc-mean()-X"
"STANDING" "7" NA "tBodyAcc-mean()-X"
"WALKING" "7" NA "tBodyAcc-mean()-X"
"WALKING_DOWNSTAIRS" "7" NA "tBodyAcc-mean()-X"
